Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0120177,2021-05-01,2021-05-01,,Spawn,https://www.imdb.com/title/tt0120177/,movie,5.2,96,1997,"Action, Drama, Horror",67990,1997-07-31,Mark A.Z. Dippé,5,2022-06-09
2,tt0466909,2021-05-01,2021-05-01,,The Omen,https://www.imdb.com/title/tt0466909/,movie,5.5,110,2006,"Drama, Fantasy, Horror, Mystery, Thriller",59057,2006-06-06,John Moore,6,2021-05-01
3,tt0289043,2021-05-01,2021-05-01,,28 Days Later...,https://www.imdb.com/title/tt0289043/,movie,7.5,113,2002,"Drama, Horror, Sci-Fi, Thriller",405824,2002-11-01,Danny Boyle,8,2021-05-01
4,tt0245674,2021-05-01,2021-05-01,,Thir13en Ghosts,https://www.imdb.com/title/tt0245674/,movie,5.6,91,2001,"Fantasy, Horror",86718,2001-10-23,Steve Beck,7,2021-05-01
5,tt0454841,2021-05-01,2021-05-01,,The Hills Have Eyes,https://www.imdb.com/title/tt0454841/,movie,6.4,107,2006,"Horror, Thriller",169168,2006-03-10,Alexandre Aja,6,2021-05-01
6,tt0099700,2021-05-01,2021-05-01,,Gremlins 2: The New Batch,https://www.imdb.com/title/tt0099700/,movie,6.4,106,1990,"Comedy, Fantasy, Horror",102195,1990-06-15,"Joe Dante, Chuck Jones",6,2021-05-01
7,tt0087363,2021-05-01,2021-05-01,,Gremlins,https://www.imdb.com/title/tt0087363/,movie,7.3,106,1984,"Comedy, Fantasy, Horror",219307,1984-06-08,Joe Dante,7,2021-05-01
8,tt0120804,2021-05-01,2021-05-01,,Resident Evil,https://www.imdb.com/title/tt0120804/,movie,6.6,100,2002,"Action, Horror, Sci-Fi",266483,2002-03-12,Paul W.S. Anderson,7,2021-05-01
9,tt0389722,2021-05-01,2021-05-01,,30 Days of Night,https://www.imdb.com/title/tt0389722/,movie,6.6,113,2007,"Action, Horror, Thriller",175014,2007-10-16,David Slade,7,2021-05-01
10,tt0134847,2021-05-01,2021-05-01,,Pitch Black,https://www.imdb.com/title/tt0134847/,movie,7.1,109,2000,"Action, Horror, Sci-Fi, Thriller",237250,2000-02-18,David Twohy,7,2021-05-01
11,tt0263488,2021-05-01,2021-05-01,,Jeepers Creepers,https://www.imdb.com/title/tt0263488/,movie,6.2,90,2001,"Horror, Mystery",124854,2001-07-20,Victor Salva,6,2021-05-01
12,tt0074285,2021-05-01,2021-05-01,,Carrie,https://www.imdb.com/title/tt0074285/,movie,7.4,98,1976,"Horror, Mystery",183230,1976-10-30,Brian De Palma,6,2021-05-01
13,tt1314655,2021-05-01,2021-05-01,,Devil,https://www.imdb.com/title/tt1314655/,movie,6.3,80,2010,"Horror, Mystery, Thriller",144121,2010-09-16,John Erick Dowdle,7,2021-05-01
14,tt0094862,2021-05-01,2021-05-01,,Child's Play,https://www.imdb.com/title/tt0094862/,movie,6.6,87,1988,"Horror, Thriller",99778,1988-11-09,Tom Holland,6,2021-05-01
15,tt0219653,2021-05-01,2021-05-01,,Dracula 2000,https://www.imdb.com/title/tt0219653/,movie,4.9,99,2000,"Action, Fantasy, Horror, Thriller",33783,2000-12-22,Patrick Lussier,4,2021-05-01
16,tt0336325,2021-05-01,2021-05-01,,Dracula II: Ascension,https://www.imdb.com/title/tt0336325/,video,4.6,85,2003,Horror,4234,2003-06-07,Patrick Lussier,4,2021-05-01
17,tt0283632,2021-05-01,2021-05-01,,They,https://www.imdb.com/title/tt0283632/,movie,4.8,89,2002,"Horror, Mystery, Thriller",12897,2002-11-01,Robert Harmon,5,2021-05-01
18,tt0238546,2021-05-01,2021-05-01,,Queen of the Damned,https://www.imdb.com/title/tt0238546/,movie,5.2,101,2002,"Drama, Fantasy, Horror",55812,2002-01-10,Michael Rymer,7,2021-05-01
19,tt0210070,2021-05-01,2021-05-01,,Ginger Snaps,https://www.imdb.com/title/tt0210070/,movie,6.8,108,2000,"Drama, Fantasy, Horror, Thriller",46651,2000-08-01,John Fawcett,8,2021-05-01
20,tt0844708,2021-05-01,2021-05-01,,The Last House on the Left,https://www.imdb.com/title/tt0844708/,movie,6.5,110,2009,"Action, Adventure, Crime, Horror, Thriller",91762,2009-03-13,Dennis Iliadis,7,2021-05-01
21,tt0144120,2021-05-01,2021-05-01,,Bride of Chucky,https://www.imdb.com/title/tt0144120/,movie,5.5,89,1998,"Comedy, Horror, Thriller",57799,1998-10-15,Ronny Yu,5,2021-05-01
22,tt0093437,2021-05-01,2021-05-01,,The Lost Boys,https://www.imdb.com/title/tt0093437/,movie,7.2,97,1987,"Comedy, Horror",139171,1987-07-27,Joel Schumacher,6,2021-05-01
23,tt0397065,2021-05-01,2021-05-01,,House of Wax,https://www.imdb.com/title/tt0397065/,movie,5.4,113,2005,"Horror, Thriller",123185,2005-04-26,Jaume Collet-Serra,5,2021-05-01
